time, state, current
00:28.361, 1, 40
00:28.387, 1, 20
00:28.412, 1, 20
00:28.438, 1, 30
00:28.464, 1, 990
00:28.490, 1, 990
00:28.516, 1, 990
00:28.541, 1, 1000
00:28.567, 0, 0
00:28.590, 0, 0
00:28.614, 0, 0
00:28.637, 0, 0
00:28.661, 0, 0
00:28.684, 0, 0
00:28.708, 0, 0
00:28.731, 0, 0
00:28.755, 0, 0
00:28.778, 0, 0
00:28.802, 0, 0
00:28.825, 0, 0
00:28.849, 0, 0
00:28.872, 0, 0
00:28.896, 0, 0
00:28.919, 0, 0
00:28.943, 0, 0
00:28.966, 0, 0
00:28.989, 0, 0
00:29.013, 0, 0
00:29.037, 0, 0
00:29.060, 0, 0
00:29.084, 0, 0
00:29.107, 0, 0
00:29.131, 0, 0
00:29.154, 0, 0
00:29.178, 0, 0
00:29.201, 0, 0
00:29.225, 0, 0
00:29.248, 0, 0
00:29.272, 0, 0
00:29.295, 0, 0
00:29.319, 0, 0
00:29.343, 0, 0
00:29.366, 0, 0
00:29.390, 0, 0
00:29.413, 0, 0
00:29.437, 0, 0
00:29.460, 0, 0
00:29.484, 0, 0
00:29.507, 0, 0
00:29.531, 0, 0
00:29.554, 0, 0
00:29.578, 0, 0
00:29.601, 0, 0
00:29.625, 0, 0
00:29.649, 0, 0
00:29.672, 0, 0
00:29.695, 0, 0
00:29.719, 0, 0
00:29.742, 0, 0
00:29.766, 0, 0
00:29.790, 0, 0
00:29.813, 0, 0
00:29.837, 0, 0
00:29.860, 0, 0
00:29.883, 0, 0
00:29.907, 0, 0
00:29.930, 0, 0
00:29.954, 0, 0
00:29.978, 0, 0
00:30.001, 0, 0
00:30.025, 0, 0
00:30.048, 0, 0
00:30.072, 0, 0
00:30.095, 0, 0
00:30.119, 0, 0
00:30.142, 0, 0
00:30.166, 0, 0
00:30.189, 0, 0
00:30.213, 0, 0
00:30.236, 0, 0
00:30.259, 0, 0
00:30.283, 0, 0
00:30.306, 0, 0
